IDD;GW;ISTC;BSB_Ink;VE15;VD16;USTC;Literatur;Einheitstitel;Alternativtitel;Umfang;Format;Sprache;Anmerkung;USTC_Subject;Verfasser_a;GND_a;Titel_a;Verfasser_b;GND_b;Titel_b;Verfasser_c;GND_c;Titel_c;anmerkung_ort;Druckort;gnd_Ort;Land;gnd_Land;anmerkung_ort_b;Druckort_b;gnd_Ort_b;Land_b;gnd_Land_b
IDD-011;null;null;null;null;null;155209;Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, Reference: 82259;Contra Judaeos;null;null;4°;Latein;Exemplar: Avignon, France, Bibliothèque municipale Livrée Ceccano;Religious;Jacobus Perez de Valentia;119348918;Contra Judaeos;null;null;null;null;null;null;null;Lyon;4036770-8;Frankreich;XA-FR;null;null;null;null;null
IDD-012;null;null;null;null;null;155362;Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, Reference: 82265;Contra Judaeos;null;null;4°;Latein;Exemplar: Avignon, France, Bibliothèque municipale Livrée Ceccano;Religious;Jacobus Perez de Valentia;119348918;Contra Judaeos;null;null;null;null;null;null;null;Lyon;4036770-8;Frankreich;XA-FR;null;null;null;null;null
IDD-013;null;null;null;null;null;155628;Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, Reference: 82279;Contra Judaeos;null;null;4°;Latein;Exemplar: Avignon, France, Bibliothèque municipale Livrée Ceccano;Religious;Jacobus Perez de Valentia;119348918;Contra Judaeos;null;null;null;null;null;null;null;Lyon;4036770-8;Frankreich;XA-FR;null;null;null;null;null
IDD-014;null;null;null;null;null;155756;Schreckenberg III (1994) 391-393. USTC-References: Henri-Louis Baudrier and Julian Baudrier, Bibliographie lyonnaise. Recherches sur les imprimeurs libraires, relieurs et fondeurs de lettres de Lyon au XVIe siècle, Reference: XII 87. Sybille von Gültlingen, Bibliographie des livres imprimés à Lyon au seizième siècle, Reference: I p. 88: 133. Antonio Palau y Dulcet, Manual del librero hispanoamericano : bibliografía general española e hispanoamericana desde la invención de la imprenta hasta nuestros tiempos con el valor comercial de los impresos descritos, Reference: 289203. Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601. Reference: 85659;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;Tractatus contra Judeos;ff. [32];8°;Latein;null;Religious;Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481);102849587;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;null;null;null;null;null;null;null;Lyon;4036770-8;Frankreich;XA-FR;null;null;null;null;null
IDD-015;null;null;null;null;null;180282;Schreckenberg III (1994) 498-501. Herbert M. Adams, Catalogue of books printed on the continent of Europe, 1501–1600 in Cambridge libraries, Reference: P 507. Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, Reference: 81905.;Scrutinium scripturarum;null;ff. [8] 102;2°;Latein;null;Religious;Paulus Burgensis, Paulus von Burgos, Paulus de Santa Maria, Pablo de Santa Maria, Salomo ben Levi;119105144;Scrutinium scripturarum;null;null;null;null;null;null;null;Paris;4044660-8;Frankreich;XA-FR;null;null;null;null;null
IDD-016;null;null;null;null;null;180316;USTC verweist auf: Brigitte Moreau, Inventaire Chronologique des Éditions Parisiennes du XVIe siècle, Bd. 1, 299: 190 [UZK, Hauptabt. / Lesesaal Historische Sammlungen, Signatur: HL/Dkp111/2-1]. Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, 88924 [UZK, Hauptabt. / Lesesaal Historische Sammlungen, Signatur: HL/Djf20/20-1];Dialogus (etc.);Dialogus Prothymopatros kai phronimos. Dialogus: Qui videlicet pro patria promptus est et Prudens. De Judeorum ritibus compendium. Tabula elementorum hebraicorum. Documenta ut debeant illa elementa proferri ac legi. Ut Hebrei numeros signant (USTC);90 Bl.;null;(1) Latein (ÖNB). (2) Griechisch (USTC);Original von Österreichische Nationalbibliothek, digitalisiert: 24. Nov. 2011;null;Franciscus Tissardus;137736703;Dialogus (etc.);null;null;null;null;null;null;null;Paris;4044660-8;Frankreich;XA-FR;null;null;null;null;null
IDD-017;null;null;null;null;null;180563;Schreckenberg III (1994) 498-501. Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, Reference: 85773;Scrutinium scripturarum;null;ff. [8] CII;2°;Latein;null;Religious;Paulus Burgensis, Paulus von Burgos, Paulus de Santa Maria, Pablo de Santa Maria, Salomo ben Levi;119105144;Scrutinium scripturarum;null;null;null;null;null;null;null;Paris;4044660-8;Frankreich;XA-FR;null;null;null;null;null
IDD-018;null;null;null;null;null;180575;Schreckenberg III (1994) 391-393. USTC-References: Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, Reference: 85658. Brigitte Moreau, Inventaire Chronologique des Éditions Parisiennes du XVIe siècle, Reference: III 397;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;Tractatus contra Judeos;null;8°;Latein;null;Religious;Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481);102849587;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;null;null;null;null;null;null;null;Paris;4044660-8;Frankreich;XA-FR;null;null;null;null;null
IDD-019;null;null;null;null;null;180594;Schreckenberg III (1994) 592-595;Contra sectam Mahumeticam, non indignus scitu libellus. Cuiusdam diu captivi Turcorum provinciae septemcastrensis, de vita et moribus eorundem alius non minus necessarius libellus. libellus de vita et moribus Judaeorum;null;ff. 86;4°;Latein;"Sammelwerk; USTC führt Verfasser unter ""Carben, Victor von"" statt wie bei seinen anderen Drucken unter ""Karben, Victor von"". Kollation: a-i4/8, k6, l-p4/8. Universität Gent: ""Subject: Judaism Controversial literature Early works to 1800""";null;Victor von Carben;119858703;De vita et moribus Judaeorum;null;null;null;null;null;null;null;Paris;4044660-8;Frankreich;XA-FR;null;null;null;null;null
IDD-020;null;null;null;null;null;182958;Schreckenberg III (1994) 561-56;(1) Centum ac quinquagenta Psalmi Davidici cum expositione (USTC). (2) Centu? ac quinquaginta psalmi Dauidici, cum diligentissima etiam tituloru? omniu? expositione ... Iacobi Perez de Vale?tia ... Præterea ... in cantica officialia ... eiusdem doctissimi patris expositiones. Accessit ad hec tractatus contra iudeos, etc. G.L. (BL);null;null;2°;Latein;British Library: System number: 000321520. General Reference Collection 3089.g.7.;Religious;Jacobus Perez de Valentia;119348918;(1) Centum ac quinquagenta Psalmi Davidici cum expositione (USTC). (2) Centu? ac quinquaginta psalmi Dauidici, cum diligentissima etiam tituloru? omniu? expositione ... Iacobi Perez de Vale?tia ... Præterea ... in cantica officialia ... eiusdem doctissimi patris expositiones. Accessit ad hec tractatus contra iudeos, etc. G.L. (BL);null;null;null;null;null;null;null;Paris;4044660-8;Frankreich;XA-FR;null;null;null;null;null
IDD-021;null;null;null;null;null;184276;Schreckenberg III (1994) 391-393. USTC-References: Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, Reference: 85658. Brigitte Moreau, Inventaire Chronologique des Éditions Parisiennes du XVIe siècle, Reference: III 397;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;Tractatus contra Judeos;null;8°;Latein;null;Religious;Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481);102849587;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;null;null;null;null;null;null;null;Paris;4044660-8;Frankreich;XA-FR;null;null;null;null;null
IDD-022;null;null;null;null;null;186624;Schreckenberg III (1994) 391-393. Herbert M. Adams, Catalogue of books printed on the continent of Europe, 1501–1600 in Cambridge libraries, Reference: B 1392. Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, Reference: 85654;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;Tractatus contra Judaeos;ff. [28];null;Latein;Signaturen AA6 BB4 CC-EE6. Exemplar: Liège, Belgium. Bibliothèque du grand séminaire;Religious;Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481);102849587;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;null;null;null;null;null;null;null;Paris;4044660-8;Frankreich;XA-FR;null;null;null;null;null
IDD-023;null;null;null;null;null;186660;Schreckenberg III (1994) 391-393. USTC-References: Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, Reference: 85655;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;Tractatus contra Judeos;null;8°;Latein;null;Religious;Johannes Duns Scotus;118528165;(1) Quaestiones in quattuor libros Sententiarum (2) Quaestiones in quattuor libros Sententiarum Petri Lombardi;null;null;null;null;null;null;null;Paris;4044660-8;Frankreich;XA-FR;null;null;null;null;null
IDD-024;9083;id00376000;null;null;null;200698;Schreckenberg III (1994) 334-335;(1) Quaestiones in quattuor libros Sententiarum (2) Quaestiones in quattuor libros Sententiarum Petri Lombardi;(1) Quaestiones in libr. IV. Sententiarum. Daran: Guillermus Vorilongus: Vademecum super 1.IV Sententiarum (2) Quaestiones in quartum librum Sententiarum Petri Lombardi. Add: Guillermus Vorrillong: Vademecum super Sententias Scoti;ff. [358];2°;Latein;"Judenfeindliche Apologetik: Sententiarum, Librum IV, distincio IV. Duns Skotus ""initiierte [eine Auffassung], derzufolge Zwangsbekehrung und Zwangstaufen von Juden erlaubt sind"" (Schreckenberg III (1994) 334).Mit Guillermus Vorilongus (GND 100944264), Vademecum super 1.IV Sententiarum";(1) Religious.(2) Philosophy and Morality;Bernhardin von Siena;11850987X;Contemplationes;null;null;null;null;null;null;null;Paris;4044660-8;Frankreich;XA-FR;null;null;null;null;null
IDD-025;1565;ia00531000;null;null;null;201482;Schreckenberg III (1994) 503-504. VL I (1978) 789-793. Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, Reference: 52733;Alphabetum divini amoris. Add: Contemplationes;null;ff. (36);8°;Latein;"Sammelwerk; Judenfeindlicher Druck? VL: Ausgabe der lat. Werke. S. Bernardini Senensis Opera omnia, ed. PP Collegii S. Bonaventurae (Quaracchi), I-IX, 1950-65. Siehe: Hünermann, Franz Josef, Die wirtschaftsethischen Predigten des hl. Bernhardin von Siena - (Universität Münster) (1939) ( UB Frankfurt, http://resolver.hebis.de/retro/original/s6060975)";(1) Religious. (2) Dictionaries;Bernhardin von Siena;11850987X;Contemplationes;null;null;null;null;null;null;null;Paris;4044660-8;Frankreich;XA-FR;null;null;null;null;null
IDD-026;(1) 1566. (2) 156920N;ia00531500;null;null;null;202014;Schreckenberg III (1994) 503-504. VL I (1978) 789-793;Alphabetum divini amoris. Add: Contemplationes;null;ff. 12;8°;Latein;"Sammelwerk; Judenfeindlicher Druck? VL: Ausgabe der lat. Werke. S. Bernardini Senensis Opera omnia, ed. PP Collegii S. Bonaventurae (Quaracchi), I-IX, 1950-65. Siehe: Hünermann, Franz Josef, Die wirtschaftsethischen Predigten des hl. Bernhardin von Siena - (Universität Münster) (1939) ( UB Frankfurt, http://resolver.hebis.de/retro/original/s6060975)";(1) Religious. (2) Dictionaries;Nicolaus de Lyra;119238683;(1) Contra perfidiam Judaeorum (2) Quaestio de probatione per scripturas a Judaeis receptas;null;null;null;null;null;null;null;Paris;4044660-8;Frankreich;XA-FR;null;null;null;null;null
IDD-027;M26693;in00147400;null;null;null;202261;Schreckenberg III (1994) 382-387. Floerken 22-23. Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, Reference: 80800;(1) Contra perfidiam Judaeorum (2) Quaestio de probatione per scripturas a Judaeis receptas;Quaestiones disputatae contra Judaeos;ff. 32;8°;Latein;1. Antijüdische Schrift. Gosselin 113, Copinger 3726;Religious;Nicolaus de Lyra;119238683;(1) Contra perfidiam Judaeorum (2) Quaestio de probatione per scripturas a Judaeis receptas;null;null;null;null;null;null;null;Paris;4044660-8;Frankreich;XA-FR;null;null;null;null;null
IDD-028;M26689;in00147300;null;null;null;202485;Schreckenberg III (1994) 382-387. Floerken 22-23. Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601,Reference: 80796;(1) Contra perfidiam Judaeorum (2) Quaestio de probatione per scripturas a Judaeis receptas;Quaestiones disputatae contra Judaos;ff. [24];8°;Latein;1. Antijüdische Schrift. Gosselin 118, Copinger 3721;Religious;Nicolaus de Lyra;119238683;(1) Contra perfidiam Judaeorum (2) Quaestio de probatione per scripturas a Judaeis receptas;null;null;null;null;null;null;null;Lyon;4036770-8;Frankreich;XA-FR;null;null;null;null;null
IDD-029;4290;ib00615000;B-454;null;null;202710;Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, Reference: 57240. Schreckenberg III (1994) 382-387. Floerken 22-23;Biblia Lateina;Biblia Lateina (cum postillis Nicolai de Lyra et expositionibus Guillelmi Britonis in omnes prologos S. Hieronymi et additionibus Pauli Burgensis replicisque Matthiae Doering). Ed: Paulus a Mercatello. With additions by Franciscus Moneliensis. Add: Nicolaus de Lyra, Contra perfidiam Judaeorum;ff. 380;2°;Latein;"Sammelwerk; 1. Antijüdische Schrift; Gosselin 27 , HC 3163; mit Paulus Burgensis (GND 119105144), Additiones; mit Matthias Doering (GND 100964664), (1) Replik (2) Defensorium postillae Nicolai de Lyracontra Paulum Burgensem; mit (1) Guillaume Breton (2) William Brito ((1) GND 102482799 (2) GND 11884038X), Expositio (vocabulorum bibliae); mit Nicolaus de Lyra (GND 119238683), Postilla";Religious;Richard Fitzralph;119373998;Summa in questionibus armenorum;null;null;null;null;null;null;null;Lyon;4036770-8;Frankreich;XA-FR;null;null;null;null;null
IDD-030;null;null;null;null;null;203036;Schreckenberg III (1994) 395. USTC Bibliographic References: Brigitte Moreau, Inventaire Chronologique des Éditions Parisiennes du XVIe siècle, Reference: II 314. Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, Reference: 84238;Summa in questionibus armenorum;Summa in questionibus Armenorum noviter impressa et correcta, cum aliquibus sermonibus;ff. Clxxvii;2°;Latein;"darin seine kleine Schrift ""De inventionibus Iudaeorum"". USTC 203036 = USTC 210027 ?";null;Vittore Porchetto de' Salvatici;100251420;Victoria adversus Hebreos, in qua tum ex sacris literis, tum ex dictis Talmud ... monstratur veritas catholice fidei. Ex recognitione Augusti Justiniani episcopi Nebiensis;null;null;null;null;null;null;null;Paris;4044660-8;Frankreich;XA-FR;null;null;null;null;null
IDD-031;null;null;null;null;null;209099;Schreckenberg III (1994) 356-357. Floerken 22-23. Brigitte Moreau, Inventaire Chronologique des Éditions Parisiennes du XVIe siècle, Reference: II 2472. Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, Reference: 85643;Victoria adversus Hebreos, in qua tum ex sacris literis, tum ex dictis Talmud ... monstratur veritas catholice fidei. Ex recognitione Augusti Justiniani episcopi Nebiensis;Victoria adversus impios Hebraeos, in qua monstratur veritas catholicae fidei;null;2°;Latein;"Streitschrift, Kontroversschrift. Vorlage Raymundus Martinus. eigene Hebräischkenntnisse und Quelleneinsicht. ""Den Titel Sieg übernahm er von einem jüdischen Werk antichristlicher Polemik, das kurz zuvor verfasst worden war, dem Sefer Nizzachon (??? ?????? – „Buch des Siegs“)"" (Wikipedia, Quelle: Hanne Trautner-Kromann: Shield and Sword: Jewish Polemics Against Christianity and the Christians in France and Spain from 1100–1500. Tübingen 1993, S. 102)";null;Vittore Porchetto de' Salvatici;100251420;Victoria adversus Hebreos, in qua tum ex sacris literis, tum ex dictis Talmud ... monstratur veritas catholice fidei. Ex recognitione Augusti Justiniani episcopi Nebiensis;null;null;null;null;null;null;null;Paris;4044660-8;Frankreich;XA-FR;null;null;null;null;null
