IDD;GW;ISTC;BSB_Ink;VE15;VD16;USTC;Literatur;Titel;Alternativtitel;Umfang;Format;Sprache; Anmerkung;USTC_Subject
IDD-017;null;null;null;null;null;180563;Schreckenberg III (1994) 498-501. Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, Reference: 85773;Scrutinium scripturarum;null;ff. (8) CII;2°;Latein;null;Religious
IDD-018;null;null;null;null;null;180575;Schreckenberg III (1994) 391-393. USTC-References: Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, Reference: 85658. Brigitte Moreau, Inventaire Chronologique des Éditions Parisiennes du XVIe siècle, Reference: III 397;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;Tractatus contra Judeos;null;8°;Latein;null;Religious
IDD-020;null;null;null;null;null;182958;Schreckenberg III (1994) 561-56;(1) Centum ac quinquagenta Psalmi Davidici cum expositione (USTC). (2) Centu? ac quinquaginta psalmi Dauidici, cum diligentissima etiam tituloru? omniu? expositione ... Iacobi Perez de Vale?tia ... Præterea ... in cantica officialia ... eiusdem doctissimi patris expositiones. Accessit ad hec tractatus contra iudeos, etc. G.L. (BL);null;null;2°;Latein;British Library: System number: 000321520. General Reference Collection 3089.g.7.;Religious
IDD-021;null;null;null;null;null;184276;Schreckenberg III (1994) 391-393. USTC-References: Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, Reference: 85658.  Brigitte Moreau, Inventaire Chronologique des Éditions Parisiennes du XVIe siècle, Reference: III 397;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;Tractatus contra Judeos;null;8°;Latein;null;Religious
IDD-022;null;null;null;null;null;186624;Schreckenberg III (1994) 391-393. Herbert M. Adams, Catalogue of books printed on the continent of Europe, 1501–1600 in Cambridge libraries, Reference: B 1392. Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, Reference: 85654;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;Tractatus contra Judaeos;ff. (28);null;Latein;Signaturen AA6 BB4 CC-EE6. Exemplar: Liège, Belgium. Bibliothèque du grand séminaire;Religious
IDD-023;null;null;null;null;null;186660;Schreckenberg III (1994) 391-393. USTC-References: Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, Reference: 85655;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;Tractatus contra Judeos;null;8°;Latein;null;Religious
IDD-024;9083;id00376000;null;null;null;200698;Schreckenberg III (1994) 334-335;Historia S. Simonis Tridentini;(1) Gedicht von dem Knaben Simon zu Trient (ISTC). (2) Historia S. Simonis Tridentini, deutsch. Simon, ein Kind bin ich genannt. (3) Gedicht über den Tod des Knaben Simon zu Trient (GW). (4) Die legendt vnd marter(... SImon ein kyndt bin ich genant) (Schöner. Incipit);ff. (358);2°;Latein;"Judenfeindliche Apologetik: Sententiarum, Librum IV, distincio IV. Duns Skotus ""initiierte (eine Auffassung), derzufolge Zwangsbekehrung und Zwangstaufen von Juden erlaubt sind"" (Schreckenberg III (1994) 334).Mit Guillermus Vorilongus (GND 100944264), Vademecum super 1.IV Sententiarum";(1) Religious. (2) Philosophy and Morality
IDD-027;M26693;in00147400;null;null;null;202261;Schreckenberg III (1994) 382-387. Floerken 22-23. Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, Reference: 80800;(1) Contra perfidiam Judaeorum. (2) Quaestio de probatione per scripturas a Judaeis receptas;Quaestiones disputatae contra Judaeos;ff. 32;8°;Latein;1. Antijüdische Schrift. Gosselin 113, Copinger 3726 ;Religious
IDD-028;M26689;in00147300;null;null;null;202485;Schreckenberg III (1994) 382-387. Floerken 22-23. Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601,Reference: 80796;(1) Contra perfidiam Judaeorum. (2) Quaestio de probatione per scripturas a Judaeis receptas;Quaestiones disputatae contra Judaos;ff. (24);8°;Latein;1. Antijüdische Schrift. Gosselin 118, Copinger 3721 ;Religious
IDD-030;null;null;null;null;null;203036;Schreckenberg III (1994) 395. USTC Bibliographic References: Brigitte Moreau, Inventaire Chronologique des Éditions Parisiennes du XVIe siècle, Reference: II 314. Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, Reference: 84238;Summa in questionibus armenorum;Summa in questionibus Armenorum noviter impressa et correcta, cum aliquibus sermonibus;ff. Clxxvii;2°;Latein;"darin seine kleine Schrift ""De inventionibus Iudaeorum"". USTC 203036 = USTC 210027 ?";null
IDD-031;null;null;null;null;null;209099;Schreckenberg III (1994) 356-357. Floerken 22-23. Brigitte Moreau, Inventaire Chronologique des Éditions Parisiennes du XVIe siècle, Reference: II 2472. Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, Reference: 85643;Victoria adversus Hebreos, in qua tum ex sacris literis, tum ex dictis Talmud ... monstratur veritas catholice fidei. Ex recognitione Augusti Justiniani episcopi Nebiensis;Victoria adversus impios Hebraeos, in qua monstratur veritas catholicae fidei;null;2°;Latein;"Streitschrift, Kontroversschrift. Vorlage Raymundus Martinus. eigene Hebräischkenntnisse und Quelleneinsicht. ""Den Titel Sieg übernahm er von einem jüdischen Werk antichristlicher Polemik, das kurz zuvor verfasst worden war, dem Sefer Nizzachon (??? ?????? – „Buch des Siegs“)"" (Wikipedia, Quelle: Hanne Trautner-Kromann: Shield and Sword: Jewish Polemics Against Christianity and the Christians in France and Spain from 1100–1500. Tübingen 1993, S. 102) ";null
IDD-032;null;null;null;null;null;209151;Schreckenberg III (1994) 356-357. Floerken 22-23. Brigitte Moreau, Inventaire Chronologique des Éditions Parisiennes du XVIe siècle, Reference: II 2472. Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, Reference: 85644;Victoria adversus Hebreos, in qua tum ex sacris literis, tum ex dictis Talmud ... monstratur veritas catholice fidei. Ex recognitione Augusti Justiniani episcopi Nebiensis;Victoria adversus impios Hebraeos, in qua monstratur veritas Catholicae fidei;null;2°;Latein;"Streitschrift, Kontroversschrift. Vorlage Raymundus Martinus. eigene Hebräischkenntnisse und Quelleneinsicht. ""Den Titel Sieg übernahm er von einem jüdischen Werk antichristlicher Polemik, das kurz zuvor verfasst worden war, dem Sefer Nizzachon (??? ?????? – „Buch des Siegs“)"" (Wikipedia, Quelle: Hanne Trautner-Kromann: Shield and Sword: Jewish Polemics Against Christianity and the Christians in France and Spain from 1100–1500. Tübingen 1993, S. 102) ";null
IDD-033;null;null;null;null;null;210027;Schreckenberg III (1994) 395. USTC Bibliographic References: Brigitte Moreau, Inventaire Chronologique des Éditions Parisiennes du XVIe siècle, Reference: II 314. Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, Reference: 84239;Summa in questionibus armenorum;Summa in questionibus Armenorum noviter impressa et correcta, cum aliquibus sermonibus;ff. Clxxvii;2°;Latein;"darin seine kleine Schrift ""De inventionibus Iudaeorum"". USTC 203036 = USTC 210027 ?";null
IDD-034;null;null;null;null;null;344420;Schreckenberg III (1994) 356-357. Floerken 22-23. Alexander Wilkinson, IB: Books Published in Spanish or Portugese or printed on the Iberian Peninsula before 1601, Reference: 17146;Victoria autoris adversus impios Hebraeos, in qua tum ex sacris literis, tum ex dictis Talmud ac Caballistarum ... monstratur veritas catholice fidei. Ex recognitione Aug. Justiniani episcopi Nebiensis;Victoria adversus impios Hebraeos, in qua monstratur veritas catholicae fidei (USTC);(ff. 94) ;2°;Latein;"Streitschrift, Kontroversschrift. Vorlage Raymundus Martinus. eigene Hebräischkenntnisse und Quelleneinsicht. ""Den Titel Sieg übernahm er von einem jüdischen Werk antichristlicher Polemik, das kurz zuvor verfasst worden war, dem Sefer Nizzachon (??? ?????? – „Buch des Siegs“)"" (Wikipedia, Quelle: Hanne Trautner-Kromann: Shield and Sword: Jewish Polemics Against Christianity and the Christians in France and Spain from 1100–1500. Tübingen 1993, S. 102).  zum Exemplar der Badischen Landesbibliothek: Handexemplar von Martin Luther. - Randnotizen u.a. von Martin Luther, Heinrich Moller und Hermann von der Hardt. Vorlageform des Erscheinungsvermerks: Egidii Gourmo(n)tij & Francisci Regnault commorantium Parrhisijs in via Jacobea, Anno Domini. 1520. 2. Jdus Juli. USTC: ""Guillermus Desplains expensis Egidio de Gourmont et François Regnault""";Religious
IDD-035;null;null;null;null;null;347803;Schreckenberg III (1994) 391-393. USTC-Bibliographic References: María Marsá, Materiales para una historia de la imprenta en Valladolid (siglos XVI y XVII), Reference: no. 42. Julián Martín Abad, Post-Incunables Ibéricos, Reference: no. 1380. Frederick John Norton, A descriptive catalogue of printing in Spain and Portugal, 1501-1520, Reference: no. 1307. Alexander Wilkinson, IB: Books Published in Spanish or Portugese or printed on the Iberian Peninsula before 1601, Reference: no. 17149 (https://iberian.ucd.ie/view/iberian:16143);(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;Las epistolas enviadas a Rabi Isaac, dotor y maestro de la sinagoga que esta en la subjulmeta en el reino susodicho;null;4°;Spanisch;Übersetzung ins Spanische. verloren;Religious
IDD-037;3894;ib00354600;null;null;null;435259;Schreckenberg III (1994) 503-504. VL I (1978) 789-793. Franco Mormando, Die Dämonen des Predigers: Bernardino von Siena und der soziale Untergrund der frühen Renaissance Italiens (Chicago: University of Chicago Press, 1999, Kapitel 4, “Neubewertung von Bernardinos Antisemitismus”. Short Title Catalogue Netherlands, Reference: 102387753;De vita christiana;null;ff. (54);4°;Latein;Signaturen (a-f8 g6). Bernhardin von Siena ist vermutlich nicht der Verfasser, sondern Bernhard von Clairvaux;Religious
IDD-039;M39866;is00109500.;null;null;null;435840;Schreckenberg III (1994) 391-393. Andrew Pettegree and Malcolm Walsby, Netherlandish Books (NB): Books published in the Low Countries and in the Dutch language abroad before 1601, Reference: 27330;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;null;ff. (20);4°;Latein;Ausstattung: mit Rubrikationen (GW-MS);Religious
IDD-041;3893;ib00354500;null;null;null;435890;Schreckenberg III (1994) 503-504. VL I (1978) 789-793. Franco Mormando, Die Dämonen des Predigers: Bernardino von Siena und der soziale Untergrund der frühen Renaissance Italiens (Chicago: University of Chicago Press, 1999, Kapitel 4, “Neubewertung von Bernardinos Antisemitismus”.;Tractatus diversi;null;ff. (56);4°;Latein;Signaturen a-d6 e4 f-i6 k4. Judenfeindlicher Druck? VL: Ausgabe der lat. Werke. S. Bernardini Senensis Opera omnia, ed. PP Collegii S. Bonaventurae (Quaracchi), I-IX,  1950-65. Siehe: Hünermann, Franz Josef, Die wirtschaftsethischen Predigten des hl. Bernhardin von Siena - (Universität Münster) (1939) ( UB Frankfurt, http://resolver.hebis.de/retro/original/s6060975);Religious
IDD-042;null;null;null;null;null;501831;Schreckenberg III (1994) 503-504. VL I (1978) 789-793. Franco Mormando, Die Dämonen des Predigers: Bernardino von Siena und der soziale Untergrund der frühen Renaissance Italiens (Chicago: University of Chicago Press, 1999, Kapitel 4, “Neubewertung von Bernardinos Antisemitismus”. English Short Title Catalogue, Reference: S111325;Quadragesimale de christiana Religiouse;(1) Quadragesimale de christiana Religiouse (Auszug: Sermo 42). (2)The churche of yvell men and women wherof Lucyfere is heed. And the membres is all the players dissolute, and synners reproved;pp. (148);4°;Englisch;Signaturen A-H8 I10. Judenfeindlicher Druck? VL: Ausgabe der lat. Werke. S. Bernardini Senensis Opera omnia, ed. PP Collegii S. Bonaventurae (Quaracchi), I-IX,  1950-65. Siehe: Hünermann, Franz Josef, Die wirtschaftsethischen Predigten des hl. Bernhardin von Siena - (Universität Münster) (1939) ( UB Frankfurt, http://resolver.hebis.de/retro/original/s6060975);Religious
IDD-043;null;null;null;null;null;568857;Schreckenberg III (1994) 391-393;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;Ain beweisung, das der war Messias kom(m)en sey, des die Juden noch on vrsach zukünfftig sein, warte(n);null;4°;Tschechisch;Übersetzung ins Tschechische;Religious
IDD-047;null;null;null;null;P 2287;608383;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Brandspiegel;Abzotraiben und aus zuleschen eines ungegrunten laster buechleyn mit namen augenspiegell so Johannes Raichlein lerer der rechten gegen und wyder mich Johannes pfefferkorn erdicht gedruckt und offentlich vormals ußgeen hat lassen dar gegen ich meyn unschult allen menschen gruntlich tzu vernemen und tzu vercleren in desez gegenwyrdigen buechgelgyn genant brantspiegell;ff. (16);4°;Deutsch;null;null
IDD-048;null;null;null;null;S 1564;609686;Schreckenberg III (1994) 391-393;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;Ain beweisung, das der war Messias kom(m)en sey, des die Juden noch on vrsach zukünfftig sein, warte(n);ff. (27);4°;Deutsch;Übersetzung ins Deutsche;Religious
IDD-049;null;null;null;null;S 1565;609687;Schreckenberg III (1994) 391-393;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;(1) Ain beweysung/ das der || war Messias kõmen sey/ des die || Juden noch on vrsach z?=||künfftig sein/ wart?.|| Beschriben durch || Rabbi Sa=||muel?.|| ... || (Verteütschet || durch Ludouic? H#(ae)tzer ... ||) (VD16). (2) Ain beweysung das der war Messias kommen sey des die Juden noch on ursach zukünfftig sein wart. Beschriben durch Rabbi Samuel (USTC);ff. (26);4°;Deutsch;Übersetzung ins Deutsche;Religious
IDD-050;null;null;null;null;P 2317;610547;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Klage;Ain mitleydliche claeg uber alle claeg an unsern allergnedichsten Kayser und gantze Deutsche nacion durch Johannes pfefferkorn gegen den ungetruwen Johan Reuchlin unnd wydder seynen falschen raytschlack vurmalß vur die trewloißen Juden und wydder mich geübt;ff. 52.;8°;Deutsch;1521-00-00;Religious
IDD-051;null;null;null;null;V 972;610553;Schreckenberg III (1994) 592-595;Ain schön und seüberlich Tractat vo(n) der edlen rainen und unbeflecten junckfrauschaft Marie, etc.;null;ff. (23);4°;Deutsch;3. Auflage?  Auch 1550 (= VD16 V 974 und U 186). Bogenkollation: AB8, C7. British Library: General Reference Collection DRT Digital Store T.741.(11.). UIN: BLL01019797425. http://explore.bl.uk/primo_library/libweb/action/dlDisplay.do?docId=BLL01019797425&vid=BLVU1&lang=en_US&institution=BL;Religious
IDD-053;null;null;null;null;T 623;614031;null;Auflosung ettli=||cher Fragen zu lob vnd ere || christi Jesu/ auch seiner lieben m#(ue)tter || Marie/ wider die verstockt? plin=||te Juden/ vnd alle die jhe=||nen so sie in jren lan||den vnd stet=||ten wi=||der recht ent=||halten f#(ue)ren vnd ge||dulden ne#(ue)lich geschehen;Auflosung ettlicher fragen zu lob und ere Christi Jesu auch seiner lieben muetter Marie wider die verstockten plinte Juden und alle die jhenen so sie in iren landen und Stetten wider recht enthalten fueren und gedulden neuelich geschehen.;ff. (13);4°;Deutsch;Reformatorische Schrift?;Religious
